date,stress_score
2024-01-01,45
2024-01-02,48
2024-01-03,42
2024-01-04,51
2024-01-05,47
2024-01-06,53
2024-01-07,49
2024-01-08,44
2024-01-09,46
2024-01-10,50
2024-01-11,52
2024-01-12,55
2024-01-13,48
2024-01-14,43
2024-01-15,47
2024-01-16,51
2024-01-17,54
2024-01-18,49
2024-01-19,46
2024-01-20,50
2024-01-21,53
2024-01-22,56
2024-01-23,52
2024-01-24,48
2024-01-25,51
2024-01-26,55
2024-01-27,50
2024-01-28,47
2024-01-29,52
2024-01-30,54
2024-01-31,49
2024-02-01,51
2024-02-02,53
2024-02-03,48
2024-02-04,50
2024-02-05,52
2024-02-06,55
2024-02-07,51
2024-02-08,48
2024-02-09,46
2024-02-10,50
2024-02-11,53
2024-02-12,51
2024-02-13,49
2024-02-14,52
2024-02-15,47
2024-02-16,44
2024-02-17,48
2024-02-18,51
2024-02-19,49
2024-02-20,46
2024-02-21,43
2024-02-22,41
2024-02-23,44
2024-02-24,47
2024-02-25,42
2024-02-26,39
2024-02-27,43
2024-02-28,40
2024-02-29,38
2024-03-01,41
2024-03-02,39
2024-03-03,37
2024-03-04,40
2024-03-05,38
2024-03-06,35
2024-03-07,37
2024-03-08,39
2024-03-09,36
2024-03-10,34
2024-03-11,37
2024-03-12,35
2024-03-13,33
2024-03-14,36
2024-03-15,38
2024-03-16,34
2024-03-17,32
2024-03-18,35
2024-03-19,37
2024-03-20,33
2024-03-21,31
2024-03-22,34
2024-03-23,36
2024-03-24,33
2024-03-25,30
2024-03-26,32
2024-03-27,35
2024-03-28,33
2024-03-29,31
2024-03-30,34
2024-03-31,32
